autor,status,cena_wywolawcza,cena_sprzedazy,tytul,rok_powstania,aukcja,wymiar_x,wymiar_y,wielkosc,techniki,material,rok_pow_new
Henryk Gotlib,zarchiwizowany,1000,5000,AKT,,1992-12-20,60.0,30.0,1800.0,olej,płótno,
-,zarchiwizowany,100,2000,ŻEBRACY,,1992-12-20,25.0,18.0,450.0,olej,deska,
-,zarchiwizowany,500,1800,PEJZAŻ ROMANTYCZNY,,1992-12-20,60.0,78.0,4680.0,akwarela,papier,
Jacek Malczewski,zarchiwizowany,5000,20700,GŁOWA STAREGO FAUNA,,1992-12-20,47.0,39.0,1833.0,olej,tektura,
Stanisław Kamocki,zarchiwizowany,5000,5800,ZAMEK W WIŚNICZU,,1992-12-20,62.0,90.0,5580.0,olej,płótno,
-,zarchiwizowany,2000,2000,PORTRET KOBIETY,,1992-12-20,69.0,58.0,4002.0,olej,płótno,
Konrad Krzyżanowski,zarchiwizowany,5000,5800,PORTRET MATYLDY SZEDNICKIEJ,,1992-12-20,35.0,26.5,927.5,olej,deska,
Wojciech Kossak,zarchiwizowany,3000,4300,PORTRET MRS. U.,,1992-12-20,40.0,30.0,1200.0,olej,płótno,
Damazy Kotowski,zarchiwizowany,2000,2100,PORTRET JANA KASPROWICZA,,1992-12-20,116.0,93.0,10788.0,olej,płótno,
Zofia Stryjeńska,zarchiwizowany,3000,3000,PEJZAŻ PARYSKI,,1992-12-20,50.5,65.5,3307.75,olej,płótno,
Franciszek Żmurko,zarchiwizowany,2000,3700,KOBIETA WE WSCHODNIM STROJU,,1992-12-20,23.0,17.0,391.0,olej,deska,
Józef Pankiewicz,zarchiwizowany,3000,7200,KWIATY NA ŁĄCE,,1992-12-20,50.0,40.0,2000.0,olej,płótno,
Piotr Le Brun,zarchiwizowany,1000,1900,PORTRET MŁODEGO MĘŻCZYZNY,,1992-12-20,71.0,61.0,4331.0,olej,płótno,
Alfred Wierusz-Kowalski,zarchiwizowany,10000,20000,BEDUINI,,1992-12-20,74.0,108.0,7992.0,olej,płótno,
Zygmunt Menkes,zarchiwizowany,5000,7500,PEJZAŻ POŁUDNIOWY,,1992-12-20,60.0,81.0,4860.0,olej,płótno,
Stanisław Lentz,zarchiwizowany,3000,3100,PORTRET PANI G.,,1992-12-20,145.5,105.0,15277.5,olej,płótno,
Władysław Czachórski,zarchiwizowany,5000,6900,PORTRET KOBIETY W CZARNYM KAPELUSZU Z PIÓRAMI,,1992-12-20,27.0,20.0,540.0,olej,deska,
Mela - (Melania Mutermilch) Muter,zarchiwizowany,10000,10000,DWOJE DZIECI,,1992-12-20,89.0,72.0,6408.0,olej,płótno,
Jacek Malczewski,zarchiwizowany,5000,5100,PORTRET MĘŻCZYZNY,,1992-12-20,53.0,66.0,3498.0,olej,płótno,
Józef Szermentowski,zarchiwizowany,10000,21500,PRZED KOŚCIOŁEM,,1992-12-20,49.0,64.5,3160.5,olej,płótno,
Józef Mehoffer,zarchiwizowany,5000,6500,OGRÓD WILLI NAD MORZEM - BEAULIEU...,,1992-12-20,23.5,33.5,787.25,olej,deska,
Stanisław Ignacy Witkiewicz,zarchiwizowany,2000,3000,PORTRET JOANNY CZAPLICKIEJ-RZEPKA,,1992-12-20,69.0,49.0,3381.0,pastel,papier,
Józef Mehoffer,zarchiwizowany,3000,3200,UŚMIECHNIĘTA MADONNA,,1992-12-20,72.0,53.5,3852.0,olej,tektura,
Leon Wyczółkowski,zarchiwizowany,5000,8000,MODLITWA W KOŚCIÓŁKU W BOCHNI,,1992-12-20,70.5,52.4,3694.2,olej,płótno,
Aleksander Świeszewski,zarchiwizowany,10000,11500,PEJZAŻ ALPEJSKI,,1992-12-20,80.0,131.0,10480.0,olej,płótno,
Stanisław Chlebowski,zarchiwizowany,3000,5600,PEJZAŻ WŁOSKI,,1992-12-20,53.0,43.0,2279.0,olej,płótno,
Józef Brandt,zarchiwizowany,10000,34000,POTYCZKA Z TATARAMI,,1992-12-20,46.5,71.0,3301.5,olej,płótno,
Jacek Malczewski,zarchiwizowany,10000,18200,NIKE ZAWIĄZUJĄCA SANDAŁ,,1992-12-20,102.0,71.0,7242.0,olej,tektura,
Apoloniusz Kędzierski,zarchiwizowany,5000,9500,WYRĄB LASU,,1992-12-20,104.5,180.0,18810.0,olej,płótno,
Władysław Aleksander Malecki,zarchiwizowany,5000,6500,PEJZAŻ Z KAPLICZKĄ,,1992-12-20,44.0,59.0,2596.0,olej,płótno,
Mela - (Melania Mutermilch) Muter,zarchiwizowany,3000,4500,ŚPIĄCA DZIEWCZYNA,,1992-12-20,41.0,33.0,1353.0,olej,tektura,
Jacek Malczewski,zarchiwizowany,3000,6100,ŚWINIOPAS,,1992-12-20,43.0,32.0,1376.0,olej,deska,
Jacek Malczewski,zarchiwizowany,5000,19200,ZATRUTA STUDNIA,,1992-12-20,110.0,59.0,6490.0,olej,płótno,
Leon Lewkowicz,zarchiwizowany,3000,9000,CYGANIE,,1992-10-11,91.0,119.5,10874.5,olej,płótno,
Artur Markowicz,zarchiwizowany,16000,0,TARG RYBNY NAD WISŁĄ,,1992-10-11,49.5,65.0,3217.5,pastel,papier,
Stanisław Ignacy Witkiewicz,zarchiwizowany,2000,5300,PORTRET ANNY RYDLOWEJ,,1992-10-11,63.8,58.0,3700.3999999999996,pastel,papier,
Jan Rubczak,zarchiwizowany,1000,4100,ŁODZIE W PORCIE,,1992-10-11,48.0,70.0,3360.0,olej,tektura,
Wacław Taranczewski,zarchiwizowany,1000,3600,MARTWA NATURA ZE SKRZYPCAMI,,1992-10-11,73.0,100.0,7300.0,olej,płótno,
Józef Pankiewicz,zarchiwizowany,5000,10500,KWIATY,,1992-10-11,81.0,64.5,5224.5,olej,płótno,
Władysław Czachórski,zarchiwizowany,5000,11500,DZIEWCZYNA Z WACHLARZEM,,1992-10-11,57.0,43.0,2451.0,olej,płótno,
Władysław Ślewiński,zarchiwizowany,10000,26000,KAZIMIERZ - DOMKI,,1992-10-11,44.0,63.0,2772.0,olej,płótno,
Stanisław Dębicki,zarchiwizowany,4000,7000,DO CHEDERU,,1992-10-11,49.5,65.5,3242.25,olej,tektura,
Władysław Jahl,zarchiwizowany,500,1050,CZTERY WRONY,,1992-10-11,14.0,17.0,238.0,olej,tektura,
Eugeniusz Eibisch,zarchiwizowany,2000,5600,PEJZAŻ Z MOSTEM,,1992-10-11,48.0,64.5,3096.0,olej,tektura,
Eugeniusz Eibisch,zarchiwizowany,1000,5000,LEŻĄCA DZIEWCZYNA,,1992-10-11,60.0,71.0,4260.0,olej,płótno,
Henryk Siemiradzki,zarchiwizowany,5000,0,DZIEWCZYNA PRZY ŹRÓDLE,,1992-10-11,30.0,21.0,630.0,olej,płótno,
Mela - (Melania Mutermilch) Muter,zarchiwizowany,3000,7100,KOBIETA W FARTUCHU,,1992-10-11,61.5,50.5,3105.75,olej,deska,
Mela - (Melania Mutermilch) Muter,zarchiwizowany,3000,9800,MARTWA NATURA Z DZBANEM I WIŚNIAMI,,1992-10-11,51.0,61.5,3136.5,olej,deska,
Włodzimierz Terlikowski,zarchiwizowany,3000,3800,RÓŻE W WAZONIE,,1992-10-11,54.0,73.0,3942.0,olej,płótno,
Bronisława Rychter-Janowska,zarchiwizowany,500,1800,OGRODY W TIVOLI,,1992-10-11,27.0,39.0,1053.0,olej,tektura,
Teodor Axentowicz,zarchiwizowany,2000,5200,MŁODOŚĆ I STAROŚĆ,,1992-10-11,49.0,69.0,3381.0,pastel,papier,
Jacek Malczewski,zarchiwizowany,10000,28000,ARTYSTA I CHIMERA, 1906,1992-10-11,32.6,40.6,1323.5600000000002,olej,tektura,1906
Jacek Malczewski,zarchiwizowany,5000,9100,PORTRET KAROLINY I ADELAJDY LANCKOROŃSKICH,,1992-10-11,45.0,55.0,2475.0,olej,deska,
Jacek Malczewski,zarchiwizowany,10000,14000,PORTRET FRANCISZKA SIEDLECKIEGO,,1992-10-11,60.0,73.0,4380.0,olej,tektura,
Antoni Kozakiewicz,zarchiwizowany,10000,26800,MODLĄCY SIĘ ŻYDZI,,1992-10-11,154.5,110.0,16995.0,olej,płótno,
Adam Styka,zarchiwizowany,1000,5700,U WODOPOJU,,1992-10-11,33.0,41.0,1353.0,olej,tektura,
Tadeusz Styka,zarchiwizowany,5000,6100,PORTRET CLARY C. GABRILOVISCH,,1992-10-11,81.0,66.0,5346.0,olej,płótno,
Jan Styka,zarchiwizowany,10000,38000,POKUSY,,1992-10-11,143.0,202.0,28886.0,olej,płótno,
Maksymilian Gierymski,zarchiwizowany,10000,16500,PEJZAŻ Z JEZIOREM,,1992-10-11,22.5,28.0,630.0,olej,deska,
Józef Chełmoński,zarchiwizowany,30000,40000,JARMARK NA KRESACH,,1992-10-11,64.5,113.0,7288.5,olej,płótno,
Stanisław Ignacy Witkiewicz,zarchiwizowany,500,2800,OSWOJONA FOKA RUZIA...,,1992-10-11,22.0,28.5,627.0,,mieszana,
Franciszek Żmurko,zarchiwizowany,1000,2800,AKT,,1992-10-11,60.0,41.0,2460.0,olej,płótno,
Władysław Bakałowicz,zarchiwizowany,5000,7200,MŁODA KOBIETA WE WNĘTRZU - PRZED BALEM,,1992-10-11,74.0,51.5,3811.0,olej,płótno,
Władysław Szerner,zarchiwizowany,2000,4500,SPOTKANIE NAD STRUMYKIEM,,1992-10-11,50.0,60.0,3000.0,olej,płótno,
Hipolit Lipiński,zarchiwizowany,5000,21000,OPOWIEŚĆ O POWSTANIU,,1992-10-11,141.0,88.5,12478.5,olej,płótno,
Juliusz Kossak,zarchiwizowany,2000,3100,POLOWANIE Z CHARTAMI NA DROPIE,,1992-10-11,18.5,33.0,610.5,akwarela,papier,
Apoloniusz Kędzierski,zarchiwizowany,2000,10100,RYBAK,,1992-10-11,61.0,52.5,3202.5,olej,płótno,
Wojciech Kossak,zarchiwizowany,2000,2000,HERR VON KOSSAK ZU MAJESTAT,,1992-10-11,31.0,40.5,1255.5,,mieszana,
Wojciech Kossak,zarchiwizowany,5000,15700,Z DEPESZĄ,,1992-10-11,50.0,39.5,1975.0,olej,deska,
Stanisław Ignacy Witkiewicz,zarchiwizowany,2000,7000,PORTRET NASTROJOWY,,1992-10-11,69.5,50.0,3475.0,pastel,papier,
Jan Stanisławski,zarchiwizowany,2000,10500,ZACHÓD SŁOŃCA,,1992-10-11,25.0,45.0,1125.0,olej,sklejka,
Józef Mehoffer,zarchiwizowany,5000,9800,OGRÓD W SŁOŃCU,,1992-10-11,51.0,71.0,3621.0,olej,tektura,
Wacław Pawliszak,zarchiwizowany,400000,0,PODARUNEK KOZACKI, PRZED 1885,1992-10-11,124.0,213.0,26412.0,olej,płótno,1885
Jacek Malczewski,zarchiwizowany,10000,15000,PORTRET LEONTYNY GOGULSKIEJ, 1909-1911,1992-10-11,64.5,80.5,5192.25,olej,tektura,1909
Wojciech Kossak,zarchiwizowany,200,2700,WSPOMNIENIA Z MARAKESZU,,1992-10-11,49.5,59.5,2945.25,olej,tektura,
Aleksander Orłowski,zarchiwizowany,20000,20000,JEŹDZIEC WSCHODNI,,1992-10-11,66.5,54.0,3591.0,olej,płótno,
Wojciech Kossak,zarchiwizowany,10000,26000,PO BITWIE POD ZIELEŃCAMI,,1992-10-11,70.0,140.0,9800.0,olej,płótno,
Artur Nacht-Samborski,zarchiwizowany,600,600,AKT LEŻĄCEJ KOBIETY,,1992-05-24,32.5,47.0,1527.5,"kredka, węgiel",papier,
Juliusz Kossak,zarchiwizowany,2500,2300,HUCULI W DRODZE NA JARMARK,,1992-05-24,24.0,19.0,456.0,akwarela,papier,
  Nikifor Krynicki,zarchiwizowany,0,0,DOM Z WIEŻYCZKĄ,,1992-05-24,23.0,17.0,391.0,akwarela,papier,
  Nikifor Krynicki,zarchiwizowany,110,210,DOMY,,1992-05-24,22.5,16.5,371.25,akwarela,papier,
  Nikifor Krynicki,zarchiwizowany,110,180,KLASZTOR,,1992-05-24,22.5,16.0,360.0,akwarela,papier,
Vlastimil Hofman,zarchiwizowany,100,0,RANNY ŻOŁNIERZ,,1992-05-24,31.0,22.5,697.5,olej,płótno,
Samuel Hirszenberg,zarchiwizowany,1800,1900,ŻYD W LISIEJ CZAPCE,,1992-05-24,16.5,12.0,198.0,olej,deska,
Vlastimil Hofman,zarchiwizowany,3000,0,MĘŻCZYZNA W FUTRZANEJ CZAPCE,,1992-05-24,53.0,70.0,3710.0,olej,tektura,
Stanisław Kamocki,zarchiwizowany,1300,900,PEJZAŻ Z DĘBAMI,,1992-05-24,36.0,52.0,1872.0,olej,tektura,
Alfons Karpiński,zarchiwizowany,1200,0,ULICZKA W STARYM PARYŻU,,1992-05-24,36.5,27.5,1003.75,olej,tektura,
Wilhelm Kotarbiński,zarchiwizowany,2200,0,STUDIUM MODELKI,,1992-05-24,68.5,42.5,2911.25,olej,płótno,
Józef Rapacki,zarchiwizowany,1700,2500,O ZMIERZCHU,,1992-05-24,65.5,90.0,5895.0,olej,płótno,
Jacek Malczewski,zarchiwizowany,4000,0,MODELKA MIĘDZY WOŹNYMI AKADEMII,,1992-05-24,61.0,39.0,2379.0,olej,płótno,
Józef Mehoffer,zarchiwizowany,4000,3400,CYSTERSI - KRUŻGANEK OPACTWA W SZCZYRKU,,1992-05-24,49.0,66.0,3234.0,olej,płótno,
Kazimierz Sichulski,zarchiwizowany,4200,4000,BIAŁE MAKI,,1992-05-24,81.0,61.0,4941.0,"tempera, kredka",tektura,
Tadeusz Zakrzewski,zarchiwizowany,700,700,MASKI,,1992-05-24,62.5,50.0,3125.0,olej,płótno,
Leon Wyczółkowski,zarchiwizowany,4500,3200,CERKIEW W JAREMCZU,,1992-05-24,53.5,73.0,3905.5,pastel,tektura,
Jerzy Kossak,zarchiwizowany,1900,1900,ZA KOZAKAMI,,1992-05-24,49.0,74.0,3626.0,olej,tektura,
Alfons Karpiński,zarchiwizowany,100,0,ŻÓŁTE RÓŻE,,1992-05-24,40.0,56.0,2240.0,olej,płótno,
Włodzimierz Zakrzewski,zarchiwizowany,1500,1500,OGRÓD OLIWNY W KALABRII,,1992-05-24,58.5,80.0,4680.0,olej,płótno,
Alfons Karpiński,zarchiwizowany,1200,0,ŻÓŁTE RÓŻE I POMARAŃCZE,,1992-05-24,47.0,50.0,2350.0,olej,tektura,
Eugeniusz Arct,zarchiwizowany,1750,0,W MAŁYM MIEŚCIE,,1992-05-24,45.0,50.0,2250.0,olej,tektura,
Wojciech Kossak,zarchiwizowany,2500,2500,W UCIECZCE PRZED WILKAMI,,1992-05-24,58.5,47.5,2778.75,olej,deska,
Piotr Stachiewicz,zarchiwizowany,2100,2100,DZIEWCZYNA W KRAKOWSKIM STROJU,,1992-05-24,46.4,62.5,2900.0,pastel,tektura,
Otolia Kraszewska,zarchiwizowany,3500,0,POCZĄTEK ŻYCIA,,1992-05-24,72.0,42.0,3024.0,olej,płótno,
Zdzisław Kraśnik,zarchiwizowany,600,0,KWITNĄCY SAD,,1992-05-24,46.0,67.0,3082.0,akwarela,papier,
  Nikifor Krynicki,zarchiwizowany,0,0,NA ŁĄCE,,1992-05-24,17.5,24.0,420.0,akwarela,papier,
Wojciech Kossak,zarchiwizowany,1800,1700,ŹREBAK,,1992-03-01,47.0,34.0,1598.0,olej,tektura,
Adolf Glatte,zarchiwizowany,7000,0,W ALPACH,,1992-03-01,43.0,34.0,1462.0,olej,płótno,
Otolia Kraszewska,zarchiwizowany,3500,0,POCZĄTEK ŻYCIA,,1992-03-01,72.0,42.0,3024.0,olej,płótno,
Stanisław Ignacy Witkiewicz,zarchiwizowany,4000,10600,AZOT, FOSFÓR I ARSEN,1992-03-01,46.5,61.5,2859.75,"akwarela, kredka, gwasz",papier,
Jerzy Kossak,zarchiwizowany,1900,1800,PRZY OGNISKU,,1992-03-01,50.0,80.0,4000.0,olej,tektura,
Henryk Piątkowski,zarchiwizowany,600,700,KOBIETA W OKNIE,,1992-03-01,61.5,47.5,2921.25,olej,płótno,
(?) Scheibe,zarchiwizowany,2500,0,NA POLNEJ DRODZE,,1992-03-01,29.5,39.5,1165.25,olej,płótno,
Stanisław Wyspiański,zarchiwizowany,6000,8000,PASJANS PRZY ŚWIECY,,1992-03-01,22.0,68.0,1496.0,pastel,papier,
Juliusz Kossak,zarchiwizowany,2500,2300,ŻYD NA KONIU,,1992-03-01,21.0,16.5,346.5,akwarela,papier,
Vlastimil Hofman,zarchiwizowany,6500,0,GŁOS: KRZYSZTOFIE, KRZYSZTOFIE,1992-03-01,70.0,100.0,7000.0,olej,dykta,
Leon Wyczółkowski,zarchiwizowany,1700,1700,BUKIET KWIATÓW,,1992-03-01,51.0,60.0,3060.0,akwarela,papier,
  Nikifor Krynicki,zarchiwizowany,200,750,PAŁAC,,1992-03-01,31.5,25.0,787.5,akwarela,papier,
Otto Kirchner,zarchiwizowany,600,650,MĘŻCZYZNA Z GAZETĄ,,1992-03-01,18.0,14.0,252.0,olej,deska,
Apoloniusz Kędzierski,zarchiwizowany,1500,0,SAMOTNIE W PARKU,,1992-03-01,33.5,23.5,787.25,olej,deska,
Apoloniusz Kędzierski,zarchiwizowany,3500,3600,DZIEWCZYNA,,1992-03-01,51.0,52.0,2652.0,pastel,karton,
Friedrich Karl Joseph Simmler,zarchiwizowany,6000,0,PEJZAŻ WIEJSKI,,1992-03-01,30.0,40.0,1200.0,olej,płótno,
Adolf Kapfhamer,zarchiwizowany,4000,0,HALA JESIENIĄ,,1992-03-01,59.5,78.5,4670.75,olej,płótno,
Jacek Malczewski,zarchiwizowany,2400,2500,MODLĄCY SIĘ CHŁOPIEC - SZKIC,,1992-03-01,43.0,28.5,1225.5,olej,płótno,
Artur Markowicz,zarchiwizowany,1400,1300,PEJZAŻ Z MOSTEM,,1992-03-01,34.0,51.0,1734.0,olej,tektura,
Tytus Czyżewski,zarchiwizowany,4500,0,MARTWA NATURA Z MORELAMI,,1992-03-01,42.0,51.5,2163.0,olej,płótno,
Jerzy Kossak,zarchiwizowany,2500,0,KONNICA,,1991-12-22,50.0,75.0,3750.0,olej,tektura,
Jan Piotr Norblin de La Gourdaine,zarchiwizowany,300,400,POŻEGNANIE,,1991-12-22,12.5,9.5,118.75,,inna,
Jan Stanisławski,zarchiwizowany,5600,5800,KIJÓW,,1991-12-22,24.0,32.5,780.0,olej,tektura,
Jan Stanisławski,zarchiwizowany,5200,0,WIATRAKI,,1991-12-22,21.5,28.7,617.05,olej,tektura,
Vlastimil Hofman,zarchiwizowany,1800,2300,MARTWY ŚPIEWAK,,1991-12-22,57.0,32.0,1824.0,olej,tektura,
Leon Wyczółkowski,zarchiwizowany,0,0,ZAWIEJA W PUSZCZY,,1991-12-22,25.0,35.0,875.0,,kamienioryt,
Vlastimil Hofman,zarchiwizowany,1200,0,DOM UCHODŹCA POLSKIEGO W PALESTYNIE,,1991-12-22,44.5,33.0,1468.5,olej,tektura,
Michał Gorstkin Wywiórski,zarchiwizowany,1800,0,ZIMA NA WSI,,1991-12-22,76.0,100.5,7638.0,olej,płótno,
Antoni Kozakiewicz,zarchiwizowany,4500,4500,PRZED KOMINKIEM,,1991-12-22,60.5,43.0,2601.5,olej,płótno,
Roman Kochanowski,zarchiwizowany,1600,1600,JESIENIĄ,,1991-12-22,17.0,22.5,382.5,olej,tektura,
Konstanty Brandel,zarchiwizowany,800,900,WIDOK Z PROWANSJI - ZAPACH LAWENDY,,1991-12-22,44.0,54.5,2398.0,akwarela,karton,
Henryk Stażewski,zarchiwizowany,3800,0,KOMPOZYCJA NIEBIESKA,,1991-12-22,45.0,45.0,2025.0,,inna,
Walter Dendy Sadler,zarchiwizowany,6000,6000,PO BITWIE,,1991-12-22,74.0,54.0,3996.0,olej,płótno,
Eugeniusz Arct,zarchiwizowany,15000,15000,OGRÓD W KAZIMIERZU,,1991-12-22,64.0,71.5,4576.0,olej,płótno,
Eugeniusz Geppert,zarchiwizowany,180,180,NA MOŚCIE,,1991-12-22,52.0,65.0,3380.0,olej,tektura,
Jerzy Kossak,zarchiwizowany,1600,1900,U STUDNI,,1991-12-22,30.0,40.0,1200.0,olej,tektura,
Stanisław Żukowski,zarchiwizowany,1400,1400,ZIMA,,1991-12-22,32.5,47.0,1527.5,olej,tektura,
Wojciech Weiss,zarchiwizowany,0,0,PEJZAŻ,,1991-12-22,38.5,65.0,2502.5,olej,płótno,
Jerzy Kossak,zarchiwizowany,2000,0,W POGONI,,1991-12-22,49.0,75.0,3675.0,olej,tektura,
Ignacy Pinkas,zarchiwizowany,950,0,KOŚCIÓŁ DOMINIKANÓW W KRAKOWIE,,1991-12-22,70.5,90.0,6345.0,pastel,papier,
Tymon Niesiołowski,zarchiwizowany,2500,2700,ARLEKIN,,1991-12-22,72.5,59.0,4277.5,olej,płótno,
Edward Lepszy,zarchiwizowany,1200,0,PRZYJM ŚLUBY NASZE,,1991-12-22,39.0,16.5,643.5,akwarela,papier,
Fryderyk Kleinman,zarchiwizowany,400,0,W MAŁYM MIEŚCIE,,1991-11-24,17.8,25.0,445.0,akwarela,tektura,
L. Friesen,zarchiwizowany,2100,3000,PEJZAŻ NADMORSKI,,1991-11-24,60.0,100.0,6000.0,olej,płótno,
Stefan Filipkiewicz,zarchiwizowany,1200,1400,TATRY W ŚNIEGU,,1991-11-24,36.0,40.5,1458.0,olej,tektura,
Erno Erb,zarchiwizowany,1800,2000,NAD TALMUDEM,,1991-11-24,48.0,62.0,2976.0,pastel,tektura,
Witold Wojtkiewicz,zarchiwizowany,1500,1500,W LOŻY,,1991-11-24,17.5,13.5,236.25,akwarela,papier,
Emilia Wysocka,zarchiwizowany,2300,0,PEJZAŻ JESIENNY,,1991-11-24,99.0,124.0,12276.0,olej,dykta,
Eugeniusz Wrzeszcz,zarchiwizowany,800,0,NAD WODĄ,,1991-11-24,44.0,67.0,2948.0,olej,płótno,
Kazimierz Sichulski,zarchiwizowany,4200,0,CHŁOPAK Z KONIEM,,1991-11-24,100.0,150.0,15000.0,olej,płótno,
Aleksander Molinari,zarchiwizowany,2500,2600,PORTRET JÓZEFA MAKSYMILIANA OSSOLIŃSKIEGO,,1991-11-24,28.0,24.0,672.0,pastel,pergamin,
Seweryn Obst,zarchiwizowany,900,0,PAŹ,,1991-11-24,30.0,40.0,1200.0,olej,płótno,
Leonard Pękalski,zarchiwizowany,600,600,NAD SANEM,,1991-11-24,36.0,45.5,1638.0,olej,dykta,
Józef Pankiewicz,zarchiwizowany,2800,2800,W ZIELENI,,1991-11-24,39.0,40.5,1579.5,olej,płótno,
Antoni Gawiński,zarchiwizowany,5400,5500,PĄTNICZKA,,1991-11-24,71.0,95.0,6745.0,olej,tektura,
Stanisław Kaczor Batowski,zarchiwizowany,1400,1850,POWITANIE,,1991-11-24,34.5,54.0,1863.0,olej,tektura,
Józef Jaroszyński,zarchiwizowany,200,310,NA PRZEŁĘCZY,,1991-11-24,19.5,27.5,536.25,akwarela,papier,
Ferdynand Ruszczyc,zarchiwizowany,500,0,WYSPA RUGIA,,1991-11-24,12.0,19.0,228.0,ołówek,papier,
Leon Wyczółkowski,zarchiwizowany,5200,8500,RYBAK,,1991-11-24,24.0,29.5,708.0,olej,płótno,
Czesław (I. Zygmuntowicz) Wasilewski,zarchiwizowany,1100,1100,SANNA,,1991-11-24,23.0,49.5,1138.5,akwarela,papier,
Wojciech Weiss,zarchiwizowany,700,0,KOBIETA Z PAPIEROSEM,,1991-11-24,65.0,50.0,3250.0,olej,płótno,
Vlastimil Hofman,zarchiwizowany,2200,0,PORTRET PUŁKOWNIKA,,1991-11-24,72.0,90.5,6516.0,olej,płótno,
Vlastimil Hofman,zarchiwizowany,1600,0,JACEK MALCZEWSKI W HABICIE FRANCISZKAŃSKIM,,1991-11-24,40.0,50.0,2000.0,olej,tektura,
Jacek Malczewski,zarchiwizowany,3500,3500,W OGRODZIE,,1991-11-24,29.7,58.0,1722.6,olej,tektura,
Jacek Malczewski,zarchiwizowany,6500,0,WĘDROWIEC,,1991-11-24,45.0,53.0,2385.0,olej,dykta,
Wojciech Kossak,zarchiwizowany,18000,18400,POLOWANIE,,1991-11-24,55.0,89.0,4895.0,olej,płótno,
Alfons Karpiński,zarchiwizowany,1200,0,ŻÓŁTE RÓŻE,,1991-11-24,50.0,70.0,3500.0,olej,tektura,
Karol Haimroth,zarchiwizowany,1800,1900,W LUSTRZE WODY,,1991-11-24,66.0,120.0,7920.0,olej,płótno,
Antoni Bachur,zarchiwizowany,900,950,KOMPOZYCJA ABSTRAKCYJNA,,1991-11-24,73.0,60.0,4380.0,olej,płótno,
Bolesław Baake,zarchiwizowany,2500,2700,KAZIMIERZ NAD WISŁĄ,,1991-11-24,95.0,107.0,10165.0,olej,płótno,
Tadeusz Cieślewski,zarchiwizowany,1000,1200,KOŚCIÓŁ ŚW. ANNY,,1991-11-24,20.0,30.0,600.0,akwarela,papier,
Józef Chełmoński,zarchiwizowany,15000,0,POD WIECZÓR ( Z POLESIA),,1991-09-29,55.0,85.0,4675.0,olej,płótno,
Władysław Podkowiński,zarchiwizowany,5500,5500,PRZY KOMINKU,,1991-09-29,35.0,28.0,980.0,"tusz lawowany, gwasz",karton,
Teofil Kwiatkowski,zarchiwizowany,6000,0,DROGA WŚRÓD SKAŁ W BURGUNDII,,1991-09-29,24.3,33.4,811.62,akwarela,karton,
Bartolomeo Nazarri,zarchiwizowany,9500,0,PORTRET STARCA,,1991-09-29,54.0,44.0,2376.0,olej,płótno,
Włodzimierz Tetmajer,zarchiwizowany,4500,10000,KONIKI POLNE,,1991-09-29,95.0,82.0,7790.0,olej,płótno,
Julian Fałat,zarchiwizowany,1500,0,ZIMA W BYSTREJ,,1991-09-29,30.5,58.0,1769.0,akwarela,karton,
Zygmunt Menkes,zarchiwizowany,18000,20800,MARTWA NATURA Z GITARĄ,,1991-09-29,91.5,64.0,5856.0,olej,płótno,
Teodor Axentowicz,zarchiwizowany,4000,4000,NA GROMNICZNĄ,,1991-09-29,79.5,57.5,4571.25,pastel,papier,
Ludwig Streitenfeld,zarchiwizowany,1000,1200,WEJŚCIE DO OGRODU,,1991-09-29,60.5,45.5,2752.75,akwarela,karton,
Diego Rivera (?),zarchiwizowany,12000,0,MACIERZYŃSTWO, 1928,1991-09-29,49.5,40.2,1989.9,tempera,tektura,1928
Tadeusz Rybkowski,zarchiwizowany,1500,1500,TARG PRZED WIELKANOCĄ...,,1991-09-29,21.0,36.5,766.5,akwarela,papier,
Stanisław Grabowski,zarchiwizowany,1500,0,GAJ OLIWNY,,1991-09-29,46.0,60.0,2760.0,"tempera, gwasz",karton,
Antoni Bachur,zarchiwizowany,1000,1200,BLEUISSEMENT,,1991-09-29,75.0,96.0,7200.0,olej,płótno,
Józef Chełmoński,zarchiwizowany,13000,13300,WIELKI OSET,,1991-09-29,21.7,30.3,657.51,olej,płótno,
Joszi Arpad Koppay,zarchiwizowany,2000,2400,I STANIE GRZECH U DRZWI DOMU TWEGO...,,1991-09-29,71.0,51.5,3656.5,tempera,tektura,
Greogorio Fidanza,zarchiwizowany,9000,0,FAJERWERKI NA ZAMKU ŚW. ANIOŁA,,1991-09-29,89.0,70.5,6274.5,olej,płótno,
Julian Fałat,zarchiwizowany,1500,2000,BYSTRA JESIENIĄ,,1991-09-29,77.5,32.0,2480.0,akwarela,karton,
Alfred Wierusz-Kowalski,zarchiwizowany,12000,0,SANNA NOCĄ, PO 1890,1991-09-29,43.0,63.0,2709.0,olej,płótno,1890
Salvador Dali,zarchiwizowany,2000,2200,AURELIA,,1991-09-29,31.8,23.8,756.84,"pastel, akwarela",papier czarny,
Józef Czapski,zarchiwizowany,4000,0,SŁONE. PEJZAŻ Z PIESKIEM,,1991-09-29,46.0,38.0,1748.0,olej,płótno,
Jan Stanisławski,zarchiwizowany,5500,5600,GDZIEŚ NA UKRAINIE,,1991-09-29,21.5,32.0,688.0,olej,płótno,
