autor,status,cena_wywolawcza,cena_sprzedazy,tytul,rok_powstania,aukcja,wymiar_x,wymiar_y,wielkosc,techniki,material,rok_pow_new
Ryszard Lis,dostępny w Galerii,12000,0,BIAŁOWIEŻA II, 1983,2019-10-06,97.0,130.0,12610.0,olej,płótno,1983
Andrzej Gieraga,dostępny w Galerii,7000,0,BEZ TYTUŁU XII,,2019-10-06,73.5,65.0,4777.5,akryl,płótno,
Marian Mokwa,zarchiwizowany,4400,0,PORT W GDYNI, 1939,2019-10-06,28.8,47.7,1373.7600000000002,"akwarela, gwasz, ołówek",papier,1939
Simon Johannes Van Douw,zarchiwizowany,65000,0,PARA OBRAZÓW, 3 ĆWIERĆ XVII W.,2019-10-06,47.0,57.0,2679.0,olej,płótno dublowane,3
Bronisława Rychter-Janowska,dostępny w Galerii,18000,0,W OGRODZIE,,2019-10-06,51.0,71.5,3646.5,olej,tektura,
Czesław (I. Zygmuntowicz) Wasilewski,zarchiwizowany,12000,17000,NAPRAWA KOŁA,,2019-10-06,55.7,86.6,4823.62,olej,płótno dublowane,
Jan Stanisławski,zarchiwizowany,15000,23000,PEJZAŻ,,2019-10-06,10.3,13.8,142.14000000000001,olej,tektura,
Ferdynand Ruszczyc,zarchiwizowany,38000,38000,KWITNĄCE JABŁONIE, 1901,2019-10-06,33.5,29.8,998.3000000000001,olej,płótno dublowane,1901
Leon Wyczółkowski,zarchiwizowany,130000,140000,PORTRET MŁODEJ KOBIETY, 1883,2019-10-06,22.8,13.5,307.8,olej,deska,1883
Feliks Michał Wygrzywalski,zarchiwizowany,9000,18000,RYBACY CIĄGNĄCY SIECI,,2019-10-06,85.5,100.8,8618.4,olej,płótno,
Rajmund Kanelba,dostępny w Galerii,40000,0,AKT, 1930,2019-10-06,65.5,81.3,5325.15,olej,płótno,1930
Alfred Wierusz-Kowalski,zarchiwizowany,580000,580000,WIECZÓR, OK. 1900,2019-10-06,78.2,102.4,8007.68,olej,płótno dublowane,1900
Stanisław Fabijański,zarchiwizowany,8000,0,GOŁĘBIE NA PLACU MARIACKIM W KRAKOWIE, 1940,2019-10-06,49.7,69.7,3464.09,olej,tektura,1940
Tadeusz Popiel,zarchiwizowany,13000,0,SKALISTE WYBRZEŻE CAPRI,,2019-10-06,113.6,154.5,17551.2,olej,płótno dublowane,
Olga Boznańska,zarchiwizowany,150000,150000,AUTOPORTRET, OK. 1905,2019-10-06,23.2,20.5,475.59999999999997,olej,tektura,1905
Emmanuel Villanis,zarchiwizowany,10000,20000,LUKRECJA, OK. 1910,2019-10-06,71.0,46.0,3266.0,,brąz patynowany,1910
Jan Chełmiński,zarchiwizowany,30000,44000,SPOTKANIE W PARKU, 1885,2019-10-06,34.8,45.6,1586.8799999999999,olej,deska,1885
Tadeusz Styka,zarchiwizowany,30000,46000,PORTRET DAMY W PERŁACH,,2019-10-06,73.3,56.4,4134.12,olej,tektura,
Zofia Plewińska-Smidowiczowa,zarchiwizowany,5000,5000,NA KRAKOWSKIM JARMARKU,,2019-10-06,26.8,22.1,592.2800000000001,"akwarela, gwasz",karton,
Tadeusz Ajdukiewicz,zarchiwizowany,15000,15000,PORTRET ARCYKSIĘCIA KAROLA HABSBURGA, OK. 1910,2019-10-06,25.0,20.0,500.0,olej,deska,1910
Jan Chełmiński,zarchiwizowany,30000,46000,KONNY HUZAR W ZIMOWYM PEJZAŻU,,2019-10-06,41.2,24.9,1025.88,olej,deska,
Wojciech Gerson,zarchiwizowany,10000,15000,CHATA W OLSZTYNIE KOŁO CZĘSTOCHOWY, 1853,2019-10-06,28.5,44.3,1262.55,kredka,papier,1853
Jan Matejko,zarchiwizowany,25000,30000,RYSUNEK DWUSTRONNY, 1860,2019-10-06,17.7,23.5,415.95,ołówek,papier,1860
Jacek Malczewski,zarchiwizowany,4500,35000,SKRZYPEK, 1882,2019-10-06,49.0,42.5,2082.5,tusz lawowany,papier żeberkowy z filigranem,1882
Leon Wyczółkowski,zarchiwizowany,55000,75000,BEGONIE, 1914,2019-10-06,50.3,68.5,3445.5499999999997,"akwarela, ołówek",karton,1914
Zdzisław  Cyankiewicz ,zarchiwizowany,35000,0,WIEŚNIACZKA (LA PAYSANNE), 1949,2019-10-06,117.0,73.8,8634.6,olej,płótno,1949
Max Band,dostępny w Galerii,15000,0,KWIATY W WAZONIE,,2019-10-06,64.0,46.0,2944.0,olej,płótno,
Henryk Epstein,zarchiwizowany,3000,3500,PORT,,2019-10-06,44.3,75.3,3335.7899999999995,"akwarela, ołówek",papier żeberkowy,
Wojciech Kossak,zarchiwizowany,25000,44000,KIRASJER W ZIMOWEJ ZADYMCE, 1912,2019-10-06,29.8,22.0,655.6,olej,tektura,1912
Włodzimierz Terlikowski,zarchiwizowany,23000,26000,KOŚCIÓŁEK, 1916,2019-10-06,46.5,55.3,2571.45,olej,płótno,1916
Włodzimierz Terlikowski,zarchiwizowany,10000,12000,KWIATY, 1926,2019-10-06,38.2,55.0,2101.0,olej,płótno,1926
Aleksander Świeszewski,zarchiwizowany,28000,0,ZACHÓD SŁOŃCA, OK. 1886,2019-10-06,29.9,41.0,1225.8999999999999,olej,deska,1886
Michał Gorstkin Wywiórski,zarchiwizowany,10000,13000,WRAK NA BRZEGU,,2019-10-06,34.0,51.3,1744.1999999999998,olej,płótno naklejone na tekturę,
Jan Chełmiński,dostępny w Galerii,28000,0,W DRODZE NA JARMARK,,2019-10-06,30.0,43.3,1299.0,olej,deska,
Jan Piotr Norblin de La Gourdaine,zarchiwizowany,4000,8000,PARA OBRAZÓW,,2019-10-06,7.5,16.5,123.75,"tusz lawowany, akwarela",papier na tekturce,
Rafał Malczewski,zarchiwizowany,12000,15000,HOPEWELL ROCKS, 1944,2019-10-06,71.5,91.0,6506.5,olej,dykta,1944
Marian Konarski,zarchiwizowany,5000,5000,MŁODOŚĆ, 1940,2019-10-06,122.3,100.5,12291.15,olej,dykta,1940
Herman (Armin) Kern,zarchiwizowany,6000,44000,CZY WYSTARCZY MI PIENIĘDZY? STARY SKRZYPEK,1904,2019-10-06,47.3,31.3,1480.49,olej,deska,1904
Rajmund Kanelba,zarchiwizowany,5000,9000,KOŚCIÓŁ DE LA MADELEINE W PARYŻU, 1930,2019-10-06,27.4,23.5,643.9,"akwarela, gwasz, tusz",karton,1930
